Character Count,Character Count (No Spaces),Unique Characters,Word Count,Sentence Count,Characters / Word,Words / Sentence,Characters / Sentence,Language
6956,6307,32,635,1,9.932283464566929,635.0,6307.0,HumanRights(Korean)_koKorean
8390,7568,31,808,1,9.366336633663366,808.0,7568.0,HumanRights(Korean)_quQuechua
10501,8886,29,1601,1,5.550281074328544,1601.0,8886.0,HumanRights(Korean)_htHaitian Creole
10769,9471,32,1284,1,7.376168224299065,1284.0,9471.0,HumanRights(Korean)_laLatin
10841,9584,44,1243,1,7.710378117457764,1243.0,9584.0,HumanRights(Korean)_ttTatar
11077,9386,37,1677,1,5.596899224806202,1677.0,9386.0,HumanRights(Korean)_kuKurdish
11108,9398,40,1696,1,5.54127358490566,1696.0,9398.0,HumanRights(Korean)_cyWelsh
11154,9813,39,1327,1,7.394875659382064,1327.0,9813.0,HumanRights(Korean)_trTurkish
11182,9638,32,1333,1,7.230307576894224,1333.0,9638.0,HumanRights(English)_laLatin
11241,9936,33,1291,1,7.6963594113090625,1291.0,9936.0,HumanRights(Korean)_ugUyghur
11260,9329,29,1720,1,5.4238372093023255,1720.0,9329.0,HumanRights(English)_htHaitian Creole
11273,9787,37,1472,1,6.648777173913044,1472.0,9787.0,HumanRights(Korean)_srSerbian
11281,9802,38,1465,1,6.690784982935154,1465.0,9802.0,HumanRights(Korean)_bsBosnian
11301,9836,38,1451,1,6.778773259820813,1451.0,9836.0,HumanRights(Korean)_hrCroatian
11360,9849,45,1300,1,7.576153846153846,1300.0,9849.0,HumanRights(English)_ttTatar
11411,9852,28,1545,1,6.376699029126214,1545.0,9852.0,HumanRights(Korean)_eoEsperanto
11435,10165,36,1256,1,8.093152866242038,1256.0,10165.0,HumanRights(Korean)_etEstonian
11452,9952,46,1304,1,7.631901840490798,1304.0,9952.0,HumanRights(Portuguese)_ttTatar
11464,9512,35,1741,1,5.463526708788053,1741.0,9512.0,HumanRights(English)_kuKurdish
11468,9511,27,1761,1,5.400908574673481,1761.0,9511.0,HumanRights(Portuguese)_htHaitian Creole
11473,9802,32,1657,1,5.915509957754979,1657.0,9802.0,HumanRights(Korean)_swSwahili
11536,10011,33,1314,1,7.6187214611872145,1314.0,10011.0,HumanRights(English)_ugUyghur
11561,10004,33,1361,1,7.350477590007348,1361.0,10004.0,HumanRights(Portuguese)_laLatin
11573,9434,31,1776,1,5.311936936936937,1776.0,9434.0,HumanRights(Arabic)_htHaitian Creole
11586,9790,35,1782,1,5.493827160493828,1782.0,9790.0,HumanRights(Korean)_caCatalan
11600,9573,30,1761,1,5.436115843270869,1761.0,9573.0,HumanRights(Russian)_htHaitian Creole
11617,9634,40,1772,1,5.436794582392777,1772.0,9634.0,HumanRights(English)_cyWelsh
11619,10165,38,1440,1,7.059027777777778,1440.0,10165.0,HumanRights(Korean)_azAzerbaijani
11726,9967,35,1496,1,6.662433155080214,1496.0,9967.0,HumanRights(Quechua)_laLatin
11735,9966,38,1755,1,5.678632478632479,1755.0,9966.0,HumanRights(Korean)_afAfrikaans
11749,10424,39,1311,1,7.95118230358505,1311.0,10424.0,HumanRights(Korean)_tkTurkmen
11770,9960,28,1599,1,6.228893058161351,1599.0,9960.0,HumanRights(English)_eoEsperanto
11795,9773,30,1781,1,5.48736664795059,1781.0,9773.0,HumanRights(Spanish)_htHaitian Creole
11798,10067,39,1520,1,6.623026315789474,1520.0,10067.0,HumanRights(English)_hrCroatian
11833,9858,34,1779,1,5.541315345699831,1779.0,9858.0,HumanRights(Portuguese)_kuKurdish
11838,10177,37,1395,1,7.295340501792115,1395.0,10177.0,HumanRights(Russian)_laLatin
11855,10262,42,1579,136,6.499050031665611,11.610294117647058,75.45588235294117,HumanRights(Korean)_daDanish
11866,10104,36,1551,1,6.5145067698259185,1551.0,10104.0,HumanRights(English)_srSerbian
11873,10356,34,1321,1,7.8395155185465555,1321.0,10356.0,HumanRights(Portuguese)_ugUyghur
11878,10088,34,1427,1,7.06937631394534,1427.0,10088.0,HumanRights(Arabic)_laLatin
11894,10131,37,1552,1,6.52770618556701,1552.0,10131.0,HumanRights(English)_bsBosnian
11895,9840,29,1824,1,5.394736842105263,1824.0,9840.0,HumanRights(Japanese)_htHaitian Creole
11896,10295,46,1360,1,7.569852941176471,1360.0,10295.0,HumanRights(Spanish)_ttTatar
11903,9909,40,1798,1,5.511123470522803,1798.0,9909.0,HumanRights(Portuguese)_cyWelsh
11909,10293,39,1405,1,7.325978647686833,1405.0,10293.0,HumanRights(English)_trTurkish
11911,10013,32,1687,1,5.935388263189093,1687.0,10013.0,HumanRights(English)_swSwahili
11924,9674,29,1987,1,4.868646200301963,1987.0,9674.0,HumanRights(Quechua)_htHaitian Creole
11939,10228,38,1515,1,6.751155115511551,1515.0,10228.0,HumanRights(Portuguese)_hrCroatian
11942,10186,37,1560,1,6.529487179487179,1560.0,10186.0,HumanRights(Portuguese)_srSerbian
11968,10155,39,1799,1,5.644802668148972,1799.0,10155.0,HumanRights(Korean)_sqAlbanian
11973,10268,31,1691,1,6.072146658781786,1691.0,10268.0,HumanRights(Korean)_faPersian
11976,10380,38,1582,1,6.561314791403287,1582.0,10380.0,HumanRights(Korean)_svSwedish
11978,9922,35,1845,1,5.377777777777778,1845.0,9922.0,HumanRights(English)_caCatalan
12005,10062,44,1929,1,5.216174183514775,1929.0,10062.0,HumanRights(Korean)_gdGaelic (Scottish)
12009,10341,49,1402,1,7.375891583452211,1402.0,10341.0,HumanRights(Russian)_ttTatar
12012,10312,39,1437,1,7.176061238691719,1437.0,10312.0,HumanRights(Quechua)_trTurkish
12019,10642,30,1363,123,7.807776962582539,11.08130081300813,86.52032520325203,HumanRights(Korean)_omOromo
12026,10648,37,1364,1,7.806451612903226,1364.0,10648.0,HumanRights(Korean)_csCzech
12039,10284,38,1559,1,6.596536241180244,1559.0,10284.0,HumanRights(Portuguese)_bsBosnian
12039,10327,37,1501,1,6.880079946702199,1501.0,10327.0,HumanRights(English)_azAzerbaijani
12067,10791,33,1262,1,8.550713153724248,1262.0,10791.0,HumanRights(Korean)_amAmharic
12069,9827,35,1979,1,4.965639211723093,1979.0,9827.0,HumanRights(Quechua)_caCatalan
12082,10118,39,1701,1,5.948265726043504,1701.0,10118.0,HumanRights(Quechua)_hrCroatian
12092,10374,47,1455,1,7.129896907216495,1455.0,10374.0,HumanRights(Quechua)_ttTatar
12105,10389,39,1450,1,7.164827586206896,1450.0,10389.0,HumanRights(Russian)_trTurkish
12108,10473,39,1439,1,7.277970813064628,1439.0,10473.0,HumanRights(Portuguese)_trTurkish
